DATE,OPEN,HIGH,LOW,CLOSE
2023-10-10,2443.0,2517.95,2443.0,2498.3
2023-10-09,2440.0,2459.7,2411.3,2442.6
2023-10-06,2466.35,2514.95,2466.05,2478.1
2023-10-05,2477.95,2486.5,2446.4,2466.35
2023-10-04,2402.2,2502.75,2392.25,2464.95
2023-10-03,2418.0,2424.9,2372.0,2387.25
2023-09-29,2462.05,2479.55,2405.05,2413.9
2023-09-28,2489.95,2511.0,2446.7,2475.25
2023-09-27,2460.0,2498.0,2445.1,2483.3
2023-09-26,2491.0,2499.0,2452.6,2457.95
2023-09-25,2479.95,2489.0,2424.0,2482.1
2023-09-22,2489.95,2498.0,2460.0,2464.9
2023-09-21,2479.8,2503.8,2461.0,2479.25
2023-09-20,2502.4,2533.65,2458.9,2470.3
2023-09-18,2552.0,2555.0,2491.0,2502.45
2023-09-15,2519.8,2558.0,2514.2,2540.05
2023-09-14,2541.85,2545.0,2506.05,2519.8
2023-09-13,2545.7,2566.95,2496.0,2518.9
2023-09-12,2622.45,2626.6,2530.0,2535.7
2023-09-11,2565.0,2630.25,2546.0,2614.95
2023-09-08,2513.8,2538.6,2506.1,2519.3
2023-09-07,2498.0,2520.0,2485.0,2509.5
2023-09-06,2494.05,2504.0,2471.0,2496.5
2023-09-05,2482.0,2501.4,2464.0,2494.05
2023-09-04,2454.0,2480.0,2450.05,2470.6
2023-09-01,2381.0,2465.55,2380.0,2450.05
2023-08-31,2449.95,2489.95,2383.75,2419.25
2023-08-30,2517.0,2543.0,2492.4,2513.1
2023-08-29,2472.1,2536.65,2445.0,2506.45
2023-08-28,2550.0,2582.0,2455.65,2472.45
2023-08-25,2549.0,2549.0,2486.0,2495.75
2023-08-24,2580.0,2613.0,2531.1,2539.55
2023-08-23,2720.0,2722.4,2488.85,2530.3
2023-08-22,2668.85,2721.0,2654.1,2698.05
2023-08-21,2588.0,2655.0,2580.5,2639.75
2023-08-18,2477.5,2665.95,2461.3,2577.4
2023-08-17,2454.95,2487.2,2442.05,2479.7
2023-08-16,2450.0,2465.0,2420.0,2445.1
2023-08-14,2480.0,2484.95,2400.05,2456.0
2023-08-11,2550.05,2568.15,2518.2,2539.5
2023-08-10,2510.0,2577.5,2510.0,2552.4
2023-08-09,2488.35,2516.9,2472.0,2507.1
2023-08-08,2563.25,2563.25,2461.3,2474.55
2023-08-07,2550.95,2569.0,2516.4,2550.5
2023-08-04,2545.3,2557.9,2502.0,2541.8
2023-08-03,2469.9,2550.0,2462.0,2532.6
2023-08-02,2493.0,2514.0,2451.0,2473.55
2023-08-01,2504.85,2514.0,2455.25,2481.1
2023-07-31,2477.0,2518.0,2467.0,2492.2
2023-07-28,2437.0,2481.65,2431.1,2463.2
2023-07-27,2470.75,2485.0,2415.0,2428.4
2023-07-26,2472.45,2506.0,2446.0,2470.75
2023-07-25,2428.0,2479.0,2416.0,2466.65
2023-07-24,2430.0,2439.4,2412.05,2418.2
2023-07-21,2410.0,2457.85,2395.3,2416.3
2023-07-20,2428.95,2433.9,2400.0,2419.75
2023-07-19,2428.65,2443.0,2416.9,2423.75
2023-07-18,2415.0,2510.0,2405.2,2416.9
2023-07-17,2399.9,2459.5,2391.3,2408.55
2023-07-14,2375.0,2385.0,2340.0,2376.1
2023-07-13,2397.0,2405.7,2355.55,2362.05
2023-07-12,2429.9,2432.0,2380.45,2387.9
2023-07-11,2423.75,2444.95,2388.0,2422.9
2023-07-10,2392.8,2462.7,2355.0,2410.25
2023-07-07,2395.0,2409.95,2368.1,2379.6
2023-07-06,2399.15,2427.6,2390.0,2402.9
2023-07-05,2391.0,2412.05,2374.0,2399.15
2023-07-04,2397.0,2414.0,2373.05,2387.7
2023-07-03,2405.0,2417.85,2373.2,2385.5
2023-06-30,2437.95,2437.95,2350.0,2388.05
2023-06-28,2300.0,2418.6,2293.85,2402.0
2023-06-27,2328.95,2343.85,2271.0,2284.45
2023-06-26,2210.05,2336.45,2173.05,2295.6
2023-06-23,2392.3,2392.3,2163.3,2233.55
2023-06-22,2425.1,2449.95,2360.0,2397.25
2023-06-21,2426.7,2440.0,2393.1,2405.95
2023-06-20,2435.0,2435.0,2390.0,2414.8
2023-06-19,2504.0,2521.6,2350.0,2401.4
2023-06-16,2499.2,2526.9,2487.4,2509.6
2023-06-15,2469.0,2527.0,2462.9,2485.65
2023-06-14,2469.9,2484.8,2452.35,2457.15
2023-06-13,2499.0,2505.0,2442.2,2462.55
2023-06-12,2460.0,2505.0,2432.6,2484.8
2023-06-09,2447.95,2458.9,2428.0,2451.15
2023-06-08,2450.0,2475.9,2369.05,2429.15
2023-06-07,2453.0,2466.95,2435.0,2439.55
2023-06-06,2475.0,2506.95,2425.9,2433.65
2023-06-05,2463.2,2514.0,2428.0,2433.95
2023-06-02,2535.0,2538.9,2425.0,2445.05
2023-06-01,2499.9,2560.0,2485.3,2492.15
2023-05-31,2482.0,2573.0,2428.0,2493.35
2023-05-30,2529.3,2554.15,2475.15,2496.45
